datetime,actual,lstm,lstm_margin,hybrid,prophet
2025-12-28 09:15:00,3.12,2.6274787902832033,2.79392493724823,2.6274787902832033,3.0070164680660927
2025-12-28 09:30:00,3.08,2.6535618066787725,2.8200079536437994,2.6535618066787725,3.0247171950864034
2025-12-28 09:45:00,3.08,2.66201605796814,2.828462204933167,2.66201605796814,3.0368607059898087
2025-12-28 10:00:00,3.08,2.673826189041138,2.840272336006165,2.673826189041138,3.0208538871629784
2025-12-28 10:15:00,3.08,2.6872546005249025,2.8537007474899294,2.6872546005249025,3.021313974192271
2025-12-28 10:30:00,3.18,2.687547597885132,2.853993744850159,2.687547597885132,3.0160583431005437
2025-12-28 10:45:00,3.18,2.6849986839294435,2.8514448308944704,2.6849986839294435,3.005595315796247
2025-12-28 11:00:00,3.14,2.687881636619568,2.854327783584595,2.687881636619568,3.0124906860196767
2025-12-28 11:15:00,3.13,2.6794053697586064,2.8458515167236333,2.6794053697586064,2.9947144792422375
2025-12-28 11:30:00,2.98,2.6786326503753664,2.8450787973403933,2.6786326503753664,2.975573505542505
2025-12-28 11:45:00,3.03,2.6767955732345583,2.843241720199585,2.6767955732345583,2.956941679951316
2025-12-28 12:00:00,3.06,2.697325229644776,2.8637713766098027,2.697325229644776,2.921365305077522
2025-12-28 12:15:00,3.07,2.6684799385070805,2.8349260854721074,2.6684799385070805,2.9094696867021383
2025-12-28 12:30:00,3.03,2.6866802930831915,2.8531264400482184,2.6866802930831915,2.903371973242459
2025-12-28 12:45:00,3.01,2.689733934402466,2.856180081367493,2.689733934402466,2.9041075425017113
2025-12-28 13:00:00,3.01,2.6857559108734135,2.8522020578384404,2.6857559108734135,2.863965756487731
2025-12-28 13:15:00,3.06,2.725173025131226,2.8916191720962527,2.725173025131226,2.8790214289371727
2025-12-28 13:30:00,3.11,2.717103910446167,2.883550057411194,2.717103910446167,2.9002924150663
2025-12-28 13:45:00,3.04,2.7281222963333134,2.8945684432983403,2.7281222963333134,2.9264307678947414
